Bond reversal symmetry
i = 0, j = 1, r_ij = ( 0.5,  0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = (-0.5, -0.5, -0.5), J_ij = 1.00 eV

Symmetry operations
i = 0, j = 1, r_ij = ( 0.5,  0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = (-0.5, -0.5, -0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = (-0.5,  0.5,  0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = (-0.5, -0.5, -0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = ( 0.5,  0.5, -0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = ( 0.5, -0.5, -0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = (-0.5,  0.5, -0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = (-0.5, -0.5,  0.5), J_ij = 1.00 eV
i = 0, j = 1, r_ij = ( 0.5, -0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = ( 0.5, -0.5, -0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = ( 0.5,  0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = (-0.5, -0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = (-0.5,  0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = ( 0.5, -0.5,  0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = ( 0.5,  0.5, -0.5), J_ij = 1.00 eV
i = 1, j = 0, r_ij = (-0.5,  0.5, -0.5), J_ij = 1.00 eV
